"station_id","year","season","n_rain","R5mm","R10mm","R20mm","SDII","PRCPTOT","Rx1day","Rx5day","n_maxdy","n_mindy","FD","TR","SU","ID","TNn","TNx","TXn","TXx","DTR","TN10p","TN90p","TX10p","TX90p"
"ATHENRY",2021,"Summer",92,14,3,0,5.347,160.4,16,36.7,92,92,0,0,11,0,2.061,17.01,14.41,29.49,8.245,NA,NA,NA,NA
"ATHENRY",2021,"Autumn",91,26,9,1,6.426,321.3,25.8,58.5,91,91,3,0,1,0,-2.599,16.56,5.759,26.93,6.331,NA,NA,NA,NA
"ATHENRY",2022,"Winter",90,27,8,1,5.706,308.1,20.9,52,90,90,6,0,0,0,-3.027,11.84,4.965,14.62,5.832,NA,NA,NA,NA
"ATHENRY",2022,"Spring",92,13,3,0,4.533,163.2,11.4,27.1,92,92,16,0,0,0,-5.454,12.88,8.21,19.85,9.073,NA,NA,NA,NA
"ATHENRY",2022,"Summer",92,14,8,2,7.233,217,30.1,50.9,92,92,0,0,7,0,5.069,16.19,14.82,30.47,8.422,NA,NA,NA,NA
"ATHENRY",2022,"Autumn",91,41,20,0,7.74,464.4,19.6,56.7,91,91,2,0,0,0,-1.778,14.39,8.36,21.26,7.265,NA,NA,NA,NA
"ATHENRY",2023,"Winter",90,21,5,2,6.193,260.1,28.8,68.8,90,90,24,0,0,2,-8.11,9.39,-1.503,14.43,6.13,NA,NA,NA,NA
"ATHENRY",2023,"Spring",92,25,9,3,7.538,339.2,24.5,76.8,92,92,9,0,0,0,-2.194,12.73,1.815,23.12,8.11,NA,NA,NA,NA
"ATHENRY",2023,"Summer",92,27,16,4,7.976,438.7,51.5,82.8,92,92,0,0,2,0,6.589,16.98,15.69,27,7.913,NA,NA,NA,NA
"ATHENRY",2023,"Autumn",91,31,16,3,8.502,433.6,29.6,67.4,91,91,5,0,4,0,-0.961,16.1,4.117,27.71,7.223,NA,NA,NA,NA
"ATHENRY",2024,"Winter",91,28,18,3,8.228,444.3,22.6,74.5,91,91,25,0,0,0,-7.288,10.86,1.803,14.46,6.452,NA,NA,NA,NA
"ATHENRY",2024,"Spring",92,22,8,0,6.107,280.9,18.6,55,92,92,2,0,0,0,-0.691,13.01,5.873,24.06,7.667,NA,NA,NA,NA
"BALLYHAISE",1993,"Autumn",91,11,4,0,5.287,158.6,18.9,30.5,90,90,19,0,0,0,-6.3,11.6,4.5,21,8.618,NA,NA,NA,NA
"BALLYHAISE",1994,"Autumn",91,15,6,1,5.285,211.4,20.5,49.1,38,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",1995,"Summer",92,9,5,1,5.868,129.1,21.9,62.3,92,92,0,0,15,0,2.8,17.2,13.1,28.5,10.316,NA,NA,NA,NA
"BALLYHAISE",1996,"Spring",92,14,4,0,5.195,202.6,16,32.5,92,92,17,0,0,0,-4,11,2.6,18.2,8.283,NA,NA,NA,NA
"BALLYHAISE",1996,"Autumn",91,22,6,1,6.266,238.1,21.4,50.3,91,91,14,0,0,0,-5.2,16.2,2.7,23.9,7.511,NA,NA,NA,NA
"BALLYHAISE",1997,"Winter",90,16,6,1,6.631,212.2,21.4,56.3,90,90,27,0,0,0,-4.4,10.6,1.2,13.2,5.728,NA,NA,NA,NA
"BALLYHAISE",1997,"Spring",92,11,5,0,5.035,156.1,17.2,40.5,92,92,8,0,0,0,-4.3,12,8.2,24.6,8.73,NA,NA,NA,NA
"BALLYHAISE",1997,"Summer",92,21,8,2,6.202,285.3,24.5,42.9,92,92,0,0,0,0,2.9,16.9,10.8,24.1,7.84,NA,NA,NA,NA
"BALLYHAISE",1997,"Autumn",90,16,3,1,5.11,209.5,22.8,46.2,91,91,4,0,0,0,-2.1,14,7.7,20.5,6.912,NA,NA,NA,NA
"BALLYHAISE",1998,"Winter",90,21,5,0,6.193,260.1,19.9,49.5,90,90,14,0,0,0,-5,12.1,2.4,15.6,5.734,NA,NA,NA,NA
"BALLYHAISE",1998,"Spring",92,16,5,0,4.743,199.2,15.2,36.2,83,92,7,0,NA,NA,-3.5,11.5,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",1998,"Summer",91,18,7,1,5.69,284.5,21.8,50.1,92,92,0,0,0,0,1.5,15.6,12.5,23.4,7.542,NA,NA,NA,NA
"BALLYHAISE",1998,"Autumn",90,25,10,1,6.302,327.7,24.5,68.3,61,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",1999,"Spring",92,16,6,0,5.351,219.4,19.6,50.4,92,92,11,0,0,0,-3.5,11.4,7,20.5,7.664,NA,NA,NA,NA
"BALLYHAISE",2000,"Winter",90,20,7,4,6.232,330.3,29.6,75.4,91,91,14,0,0,0,-4.9,9.1,2,14.9,5.818,NA,NA,NA,NA
"BALLYHAISE",2000,"Spring",91,14,5,0,5.243,209.7,16.5,40.9,92,92,11,0,0,0,-4.2,11.1,6.4,22.6,8.961,NA,NA,NA,NA
"BALLYHAISE",2001,"Spring",92,13,6,1,5.731,200.6,20.5,45.3,92,92,16,0,0,0,-7,13,3,24,9.114,NA,NA,NA,NA
"BALLYHAISE",2001,"Summer",92,10,4,1,4.849,189.1,22,33.4,92,92,0,0,0,0,1.9,16.1,12,25,8.42,NA,NA,NA,NA
"BALLYHAISE",2001,"Autumn",91,12,3,0,4.316,194.2,13.9,31.3,91,91,4,0,0,0,-0.2,14.3,8.3,21,6.797,NA,NA,NA,NA
"BALLYHAISE",2002,"Winter",90,28,10,1,6.957,327,22,56.7,90,90,24,0,0,0,-9,8.7,2,13.5,6.707,NA,NA,NA,NA
"BALLYHAISE",2002,"Spring",92,20,6,1,5.378,268.9,27.5,49,92,92,13,0,0,0,-3.1,13,7.3,20.8,8.309,NA,NA,NA,NA
"BALLYHAISE",2002,"Summer",91,16,5,0,4.862,228.5,18.5,37,79,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",2002,"Autumn",91,22,12,3,8.488,339.5,43,99.8,61,91,5,0,NA,NA,-1.6,14.4,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",2003,"Spring",92,15,5,0,5.385,220.8,19.4,45.2,92,92,12,0,0,0,-3.4,12.9,8,23.7,9.168,NA,NA,NA,NA
"BALLYHAISE",2003,"Summer",91,11,4,0,5.106,173.6,20,38,92,92,0,0,4,0,4.7,17,14.1,27.5,8.2,NA,NA,NA,NA
"BALLYHAISE",2003,"Autumn",91,12,5,1,5.17,191.3,33,47.4,91,91,11,0,0,0,-3,15.5,7,22.7,8.255,NA,NA,NA,NA
"BALLYHAISE",2004,"Winter",91,14,4,1,5.437,190.3,24.7,53.3,91,91,35,0,0,0,-7,11.4,2.8,14.5,6.933,NA,NA,NA,NA
"BALLYHAISE",2004,"Spring",92,10,5,0,4.882,190.4,15.4,43.7,31,92,10,0,NA,NA,-5.5,11.6,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",2004,"Summer",91,13,5,1,4.557,214.2,30.8,52.3,0,92,0,0,NA,NA,4.5,15.7,NA,NA,NA,NA,NA,NA,NA
"BALLYHAISE",2008,"Summer",92,18,11,3,6.667,320,33,70.6,92,92,0,0,0,0,1.937,16.21,13.13,23.25,6.943,NA,NA,NA,NA
"BALLYHAISE",2008,"Autumn",91,19,8,0,5.616,252.7,19.4,36.5,91,91,5,0,0,0,-4.717,12.91,2.854,18.78,6.457,NA,NA,NA,NA
"BALLYHAISE",2009,"Winter",90,11,5,1,5.855,193.2,39.5,52,90,90,37,0,0,0,-5.726,8.53,0.962,11.57,5.979,NA,NA,NA,NA
"BALLYHAISE",2009,"Spring",92,24,6,0,5.296,275.4,15.3,52.6,92,92,5,0,0,0,-2.065,11.75,5.327,21.64,7.431,NA,NA,NA,NA
"BALLYHAISE",2009,"Summer",92,20,6,1,5.822,296.9,36.2,76.1,92,92,0,0,1,0,3.569,17.17,12.36,26.52,7.494,NA,NA,NA,NA
"BALLYHAISE",2009,"Autumn",90,27,13,3,7.351,360.2,33.4,95.1,91,91,4,0,0,0,-1.682,14.13,5.327,20.45,6.203,NA,NA,NA,NA
"BALLYHAISE",2010,"Spring",92,7,4,3,6.623,172.2,39.9,65.2,92,92,18,0,0,0,-7.67,13.49,2.698,24.62,9.528,NA,NA,NA,NA
"BALLYHAISE",2010,"Summer",92,16,6,0,5.794,197,18.7,31.6,92,92,0,0,0,0,3.314,15.87,13.92,24.91,7.814,NA,NA,NA,NA
"BALLYHAISE",2010,"Autumn",91,21,14,2,7.667,345,40,93.6,91,91,16,0,0,1,-6.505,13.96,-0.622,22.28,6.72,NA,NA,NA,NA
"BALLYHAISE",2011,"Winter",90,14,6,2,6.684,213.9,27.8,61.7,90,90,48,0,0,11,-15.21,9.8,-9.39,13.32,6.868,NA,NA,NA,NA
"BALLYHAISE",2011,"Spring",92,10,2,1,4.016,148.6,23.1,31.3,92,92,11,0,0,0,-3.99,12.48,2.801,20.12,8.323,NA,NA,NA,NA
"BALLYHAISE",2011,"Summer",92,15,5,0,4.855,213.6,17.7,35.5,92,92,0,0,0,0,1.987,15.05,12.08,24.07,7.689,NA,NA,NA,NA
"BALLYHAISE",2011,"Autumn",91,26,13,5,7.298,401.4,28.7,61.4,91,91,2,0,0,0,-1.383,16.24,6.91,21.37,5.506,NA,NA,NA,NA
"BALLYHAISE",2012,"Winter",91,19,4,0,4.879,253.7,14.2,43.9,91,91,13,0,0,0,-5.446,11.22,2.672,13.11,4.901,NA,NA,NA,NA
"BALLYHAISE",2012,"Spring",92,7,3,0,4.224,122.5,11.4,24.2,92,92,9,0,0,0,-2.235,13.22,5.704,24.09,8.144,NA,NA,NA,NA
"BALLYHAISE",2012,"Summer",92,25,14,3,6.8,374,33.7,65.8,92,92,0,0,0,0,3.744,15,12.42,22.93,6.838,NA,NA,NA,NA
"BALLYHAISE",2012,"Autumn",91,20,8,1,6.007,252.3,29.4,44.2,91,91,9,0,0,0,-2.1,14.3,2.329,21.14,6.585,NA,NA,NA,NA
"BALLYHAISE",2013,"Winter",90,26,8,0,6.272,288.5,18.5,46.8,90,90,31,0,0,0,-5.769,9.97,1.288,12.99,5.642,NA,NA,NA,NA
"BALLYHAISE",2013,"Spring",92,15,4,0,5.087,198.4,12.8,41.9,92,92,23,0,0,0,-5.989,10.24,2.148,18.96,6.86,NA,NA,NA,NA
"BALLYHAISE",2013,"Summer",92,10,3,1,5.184,160.7,26.6,51.3,92,92,0,0,7,0,4.644,16.35,13.43,28.4,8.252,NA,NA,NA,NA
"BALLYHAISE",2013,"Autumn",91,19,9,0,5.698,245,16.3,42.6,91,91,6,0,0,0,-2.701,15.41,5.002,22.09,6.142,NA,NA,NA,NA
"BALLYHAISE",2014,"Winter",90,32,10,3,6.291,408.9,29.1,62.2,90,90,4,0,0,0,-2.062,10.71,3.39,14.29,5.324,NA,NA,NA,NA
"BALLYHAISE",2014,"Spring",92,17,6,0,4.633,213.1,12.9,36.5,92,92,7,0,0,0,-2.762,11.16,6.855,19.22,7.331,NA,NA,NA,NA
"BALLYHAISE",2014,"Summer",92,13,7,2,6.135,245.4,45,50.3,92,92,0,0,2,0,1.985,16.6,14.1,25.23,7.862,NA,NA,NA,NA
"BALLYHAISE",2014,"Autumn",91,15,11,2,7.658,252.7,40.9,60,90,90,2,0,0,0,-1.171,14.43,5.006,22.35,7.247,NA,NA,NA,NA
"BALLYHAISE",2015,"Winter",90,27,9,0,5.983,287.2,16.9,41.9,90,90,25,0,0,0,-6.189,10.2,1.297,13.58,5.969,NA,NA,NA,NA
"BALLYHAISE",2015,"Spring",92,23,7,1,6.256,269,24,51.1,92,92,16,0,0,0,-3.524,11.06,2.965,18.41,8.443,NA,NA,NA,NA
"BALLYHAISE",2015,"Summer",92,17,8,1,5.832,274.1,24.9,67.6,92,92,0,0,0,0,2.009,15.1,10.4,23.98,7.465,NA,NA,NA,NA
"BALLYHAISE",2015,"Autumn",91,17,9,1,6.383,229.8,25.5,52.1,91,91,2,0,0,0,-2.048,11.94,5.27,19.09,7.104,NA,NA,NA,NA
"BALLYHAISE",2016,"Winter",91,32,13,5,7.647,458.8,33.5,83.3,91,90,17,0,0,0,-3.819,12.32,2.328,15.03,5.81,NA,NA,NA,NA
